LastUpdated,PM10
2018-09-10 14:00:00,12.833
2018-09-10 13:45:00,15.599
2018-09-10 13:30:00,26.233
2018-09-10 13:15:00,14.779
2018-09-10 13:00:00,24.859
2018-09-10 12:45:00,29.999
2018-09-10 12:30:00,20.126
2018-09-10 12:15:00,23.986
2018-09-10 12:00:00,21.439
2018-09-10 11:45:00,10.013
2018-09-10 11:30:00,13.526
2018-09-10 11:15:00,-3.133
2018-09-10 11:00:00,2.873
2018-09-10 10:45:00,20.746
2018-09-10 10:30:00,28.746
2018-09-10 10:15:00,19.573
2018-09-10 10:00:00,10.553
2018-09-10 09:45:00,9.693
2018-09-10 09:30:00,27.299
2018-09-10 09:15:00,30.993
2018-09-10 09:00:00,22.666
2018-09-10 08:45:00,18.966
2018-09-10 08:30:00,17.706
2018-09-10 08:15:00,13.179
2018-09-10 08:00:00,11.266
2018-09-10 07:45:00,9.839
2018-09-10 07:30:00,15.039
2018-09-10 07:15:00,12.166
2018-09-10 07:00:00,10.539
2018-09-10 06:45:00,11.779
2018-09-10 06:30:00,21.486
2018-09-10 06:15:00,22.826
2018-09-10 06:00:00,11.633
2018-09-10 05:45:00,15.479
2018-09-10 05:30:00,19.006
2018-09-10 05:15:00,22.699
2018-09-10 05:00:00,20.759
2018-09-10 04:45:00,18.619
2018-09-10 04:30:00,13.299
2018-09-10 04:15:00,13.262
2018-09-10 04:00:00,12.933
2018-09-10 03:45:00,10.826
2018-09-10 03:30:00,12.293
2018-09-10 03:15:00,13.573
2018-09-10 03:00:00,10.459
2018-09-10 02:45:00,9.746
2018-09-10 02:30:00,10.559
2018-09-10 02:15:00,12.006
2018-09-10 02:00:00,12.659
2018-09-10 01:45:00,11.013
2018-09-10 01:30:00,12.166
2018-09-10 01:15:00,15.239
2018-09-10 01:00:00,15.893
2018-09-10 00:45:00,15.093
2018-09-10 00:30:00,12.393
2018-09-10 00:15:00,10.679
2018-09-09 22:45:00,9.559
2018-09-09 22:30:00,11.953
2018-09-09 22:15:00,8.666
2018-09-09 22:00:00,9.493
2018-09-09 21:45:00,7.219
2018-09-09 21:30:00,12.106
2018-09-09 21:15:00,13.453
2018-09-09 21:00:00,17.233
2018-09-09 20:45:00,19.486
2018-09-09 20:30:00,18.399
2018-09-09 20:15:00,17.999
2018-09-09 20:00:00,17.873
2018-09-09 19:45:00,19.566
2018-09-09 19:30:00,20.246
2018-09-09 19:15:00,15.633
2018-09-09 19:00:00,14.946
2018-09-09 18:45:00,14.799
2018-09-09 18:30:00,19.546
2018-09-09 18:15:00,21.926
2018-09-09 18:00:00,20.259
2018-09-09 17:45:00,16.686
